Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
5,CENTRO MEDICO COLSUBSIDIO CL 26,COLOMBIA,BOGOTA,BOGOTA,CENTRO MEDICO COLSUBSIDIO CL 26_BOGOTA_BOGOTA
4,HOSPITAL DEL SUR CAMI PATIO BONITO,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL DEL SUR CAMI PATIO BONITO_BOGOTA_BOGOTA
4,CORPORACION IPS SALUDCOOP BOGOTA,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS SALUDCOOP BOGOTA_BOGOTA_BOGOTA
4,HOSPITAL EL TUNAL ESE,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL EL TUNAL ESE_BOGOTA_BOGOTA
4,VIRREY SOLIS OLAYA - RAFAEL URIBE,COLOMBIA,BOGOTA,BOGOTA,VIRREY SOLIS OLAYA - RAFAEL URIBE_BOGOTA_BOGOTA
4,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE DE BOGOT,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE DE BOGOT_BOGOTA_BOGOTA
4,HOSPITAL PABLO VI BOSA ESE - UPA LA ESTACION,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL PABLO VI BOSA ESE - UPA LA ESTACION_BOGOTA_BOGOTA
4,CAFI RESTREPO,COLOMBIA,BOGOTA,BOGOTA,CAFI RESTREPO_BOGOTA_BOGOTA
4,CLINICA DE MARLY SA,COLOMBIA,BOGOTA,BOGOTA,CLINICA DE MARLY SA_BOGOTA_BOGOTA
4,SERVICIO MEDICO U. DE LOS ANDES CANDELARIA,COLOMBIA,BOGOTA,BOGOTA,SERVICIO MEDICO U. DE LOS ANDES CANDELARIA_BOGOTA_BOGOTA
4,NUEVA EPS SEDE ALQUERIA KENNEDY,COLOMBIA,BOGOTA,BOGOTA,NUEVA EPS SEDE ALQUERIA KENNEDY_BOGOTA_BOGOTA
4,CLINICA MATERNO INFANTIL EUSALUD,COLOMBIA,BOGOTA,BOGOTA,CLINICA MATERNO INFANTIL EUSALUD_BOGOTA_BOGOTA
