ds,Dengue,Zika,Chikungunya,Varicela
2017-06-19,344756.2170550505,75525.1840197286,76237.76368883878,929322.5085258242
2017-06-26,344268.53143208835,75603.97572974706,76297.34517381435,930976.8250816751
2017-07-03,343822.56885483314,75486.1163391911,76370.80208914696,932577.4265591428
2017-07-10,343386.1462579821,75246.02060826552,76411.79839752807,934146.5565068212
2017-07-17,342885.30997640954,75201.30027693517,76423.53355399189,935840.5738654545
2017-07-24,342257.3801040631,75563.66833275596,76447.00433727431,937831.1598175792
2017-07-31,341511.83405756246,76169.4277543283,76503.68143219773,940121.5356809471
2017-08-07,340737.1931302139,76612.12037950347,76560.16487385434,942504.5339735094
2017-08-14,340035.542995982,76631.51978733508,76558.95459734474,944732.7613483955
2017-08-21,339439.7724718793,76324.33381219434,76483.28158483493,946738.3221155065
2017-08-28,338893.13747478067,75970.87813742664,76383.49034848288,948675.9059708082
2017-09-04,338311.73906764,75720.24319656544,76328.62287009427,950749.0040801768
2017-09-11,337665.74350603134,75499.75088099582,76360.06463420406,953009.2714640353
2017-09-18,336997.1663823267,75198.2168850731,76451.2248550402,955336.2853907858
2017-09-25,336362.6501855952,74842.9456895277,76550.34215241346,957596.5191333938
2017-10-02,335770.5445496845,74549.69832295488,76627.39548989701,959788.504149805
2017-10-09,335181.65556134476,74352.69914443395,76683.38572357628,962017.8990698435
2017-10-16,334564.4503808205,74168.35523881279,76726.08150541731,964352.4939954092
2017-10-23,333932.1032274496,73935.14990500531,76752.26045263949,966735.8437690904
2017-10-30,333315.3254720409,73713.52489399431,76756.25340540777,969050.0375411707
2017-11-06,332707.8699876056,73594.3963469634,76743.27831204451,971234.9754125419
2017-11-13,333624.606506674,73538.4482680582,76721.85795216422,972748.4924949443
2017-11-20,334462.6562983856,73402.98043420255,76684.755661838,974179.6955600377
2017-11-27,335257.48513815197,73150.65072916097,76615.96411039532,975467.5296235534
2017-12-04,336103.83034588565,72960.42462842996,76519.54064462168,976504.8112112769
2017-12-11,337075.1377294907,73044.870662139,76441.34255655388,977258.3900476929
2017-12-18,338158.85184241564,73359.75611484906,76442.01011230494,977837.1542001674
2017-12-25,339275.89302670595,73581.06497474473,76539.34410851778,978429.8870003624
2018-01-01,340361.906490064,73427.29301864364,76680.7885747171,979174.6767206396
2018-01-08,341423.73694990395,73018.53579705008,76782.23503016811,980083.7131236141
2018-01-15,342516.82939467183,72778.0300797286,76799.0974973717,981077.070871902
2018-01-22,343676.8202608634,73019.14980404695,76759.17460971283,982071.6425575146
2018-01-29,344881.9187458126,73633.17968163152,76727.02311689386,983041.1906176924
2018-02-05,346079.40455820854,74228.81327940439,76740.90433382062,984016.7053022648
2018-02-12,347236.9059914028,74544.9316557845,76786.93896689068,985052.5378681782
2018-02-19,348360.088335023,74661.77631924725,76827.21663824623,986190.4486981996
