date,Dengue,Zika,Chikungunya,Varicela
2013-12-16,204580.0625,,,551570.875
2013-12-23,205700.4375,,,553324.5625
2013-12-30,206708.03125,,,554865.5625
2014-01-06,207890.671875,,,556308.5
2014-01-13,209217.65625,,,557752.625
2014-01-20,210598.03125,,,559192.9375
2014-01-27,212040.421875,,,560694.9375
2014-02-03,213429.859375,,,562219.0625
2014-02-10,214744.015625,,,563758.375
2014-02-17,215971.03125,,,565306.5
2014-02-24,217147.375,,,566920.1875
2014-03-03,218228.265625,,,568562.0625
2014-03-10,219260.421875,,,570312.8125
2014-03-17,220274.59375,,,572196.125
2014-03-24,221249.40625,,,574134.1875
2014-03-31,222185.71875,,,576153.5
2014-04-07,223148.734375,,,578186.5625
2014-04-14,224076.078125,,,580179.875
2014-04-21,224965.078125,,,582055.625
2014-04-28,225873.125,,,583991.25
2014-05-05,226792.03125,,,585919.0
2014-05-12,227702.3125,,,587925.0625
2014-05-19,228595.46875,,,589941.125
2014-05-26,229515.375,,,592042.3125
2014-06-02,230384.875,,,594124.5625
2014-06-09,231310.734375,,,596251.6875
2014-06-16,232279.875,,,598365.5
2014-06-23,233238.890625,,,600360.875
2014-06-30,234176.484375,,,602244.5625
2014-07-07,235177.546875,,1312.7674560546875,604088.5
2014-07-14,236225.71875,,1322.248046875,605969.5
2014-07-21,237278.15625,,1333.8367919921875,607880.9375
2014-07-28,238345.84375,,1346.1304931640625,609867.4375
2014-08-04,239413.1875,,1359.7021484375,611878.625
2014-08-11,240432.21875,,1376.4617919921875,613888.75
2014-08-18,241427.96875,,1396.9241943359375,615914.8125
2014-08-25,242394.484375,,1427.520751953125,617975.5
2014-09-01,243303.140625,,1482.7117919921875,620109.375
2014-09-08,244226.078125,,1605.7493896484375,622314.3125
2014-09-15,245195.359375,,1982.4212646484375,624656.3125
2014-09-22,246195.953125,,2857.255859375,627077.1875
2014-09-29,247178.28125,,4142.32958984375,629597.375
2014-10-06,248171.40625,,5560.48974609375,632155.375
2014-10-13,249155.640625,,6969.673828125,634764.75
2014-10-20,250160.59375,,8363.015625,637450.125
2014-10-27,251183.59375,,9674.8369140625,640148.3125
2014-11-03,252156.9375,,10835.7900390625,642855.875
2014-11-10,253061.453125,,11965.0810546875,645540.25
2014-11-17,253922.484375,,13100.3935546875,648151.6875
2014-11-24,254739.046875,,14259.744140625,650615.5
2014-12-01,255493.875,,15407.8740234375,652953.375
2014-12-08,256242.703125,,16668.0625,655094.75
2014-12-15,257021.375,,17947.716796875,657052.5625
2014-12-22,257788.5625,,19205.103515625,658869.125
2014-12-29,259317.734375,,21988.107421875,662061.3125
2014-12-29,259317.734375,,21988.107421875,660501.6875
2014-12-29,259317.734375,,20408.5703125,662061.3125
2014-12-29,259317.734375,,20408.5703125,660501.6875
2014-12-29,258541.265625,,20408.5703125,660501.6875
2014-12-29,258541.265625,,21988.107421875,660501.6875
2014-12-29,258541.265625,,20408.5703125,662061.3125
2014-12-29,258541.265625,,21988.107421875,662061.3125
2015-01-05,260203.296875,,23522.4140625,663516.125
2015-01-12,261086.5625,,25080.0546875,664985.5625
2015-01-19,261946.046875,,26530.5625,666492.5625
2015-01-26,262761.34375,,27881.447265625,668015.1875
2015-02-02,263574.65625,,29205.556640625,669586.3125
2015-02-09,264334.625,,30540.775390625,671195.75
2015-02-16,265083.9375,,31969.451171875,672852.25
2015-02-23,265789.0625,,33491.6015625,674554.6875
2015-03-02,266472.96875,,35066.12890625,676374.9375
2015-03-09,267147.84375,,36676.23828125,678309.9375
2015-03-16,267808.15625,,38205.359375,680319.375
2015-03-23,268414.4375,,39648.00390625,682308.25
2015-03-30,268991.46875,,41045.15234375,684320.75
2015-04-06,269577.46875,,42513.40234375,686417.5625
2015-04-13,270171.59375,,43996.1484375,688509.8125
2015-04-20,270777.8125,,45441.8203125,690648.6875
2015-04-27,271402.40625,,46880.5625,692788.75
2015-05-04,272032.3125,,48370.54296875,694961.3125
2015-05-11,272690.40625,,49870.28515625,697075.1875
2015-05-18,273337.84375,,51391.2265625,699227.625
2015-05-25,273986.71875,,52887.0390625,701404.1875
2015-06-01,274643.78125,,54292.80859375,703576.5625
2015-06-08,275280.5625,,55547.06640625,705736.25
2015-06-15,275897.71875,,56655.5078125,707851.5
2015-06-22,276510.3125,,57567.6015625,709879.1875
2015-06-29,277168.59375,,58363.5,711877.875
2015-07-06,277842.34375,,59072.765625,713938.4375
2015-07-13,278492.53125,,59676.46875,715978.5
2015-07-20,279120.1875,,60187.96484375,718065.5625
2015-07-27,279755.9375,,60605.6328125,720207.125
2015-08-03,280375.09375,,60949.73046875,722406.25
2015-08-10,280968.0625,,61247.3515625,724681.125
2015-08-17,281568.46875,,61503.5859375,727067.5625
2015-08-24,282177.5625,,61725.94921875,729558.125
2015-08-31,282802.1875,,61921.2734375,732135.9375
2015-09-07,283475.0,3314.031982421875,62101.33203125,734815.25
2015-09-14,284177.9375,3326.262451171875,62272.41796875,737574.5
2015-09-21,284924.40625,3344.5947265625,62427.7890625,740378.8125
2015-09-28,285697.59375,3386.8037109375,62567.37109375,743178.375
2015-10-05,286474.53125,3440.210693359375,62704.484375,745941.5
2015-10-12,287280.0625,3506.13134765625,62855.359375,748777.9375
2015-10-19,288115.65625,3620.782470703125,63000.25,751540.9375
2015-10-26,288974.9375,3781.533203125,63138.234375,754292.0625
2015-11-02,289861.9375,3996.656005859375,63269.328125,757060.5625
2015-11-09,290783.34375,4340.01123046875,63401.140625,759824.875
