date,dengue_no_split,zika,varicela,chicunguya
1/8/2018,364833.6965,75898.90274,978591.0494,76221.42575
1/15/2018,365613.4992,75940.16792,979874.1359,76240.97827
1/22/2018,366393.0613,75979.91176,981150.1055,76259.93697
1/29/2018,367172.3782,76018.1897,982418.9766,76278.31973
2/5/2018,367951.445,76055.05521,983680.7681,76296.14388
2/12/2018,368730.2573,76090.55986,984935.499,76313.42624
2/19/2018,369508.8104,76124.75336,986183.1886,76330.18314
2/26/2018,370287.0995,76157.68366,987423.8564,76346.43044
3/5/2018,371065.1201,76189.39697,988657.5221,76362.18349
3/12/2018,371842.8675,76219.93787,989884.2058,76377.45722
3/19/2018,372620.3371,76249.34931,991103.9276,76392.26609
3/26/2018,373397.5243,76277.67271,992316.7078,76406.62417
