SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
2,2007,colombia,norte santander,ocana,2,COLOMBIA_NORTE SANTANDER_OCAÑA,8.107919522660925,-72.8069503250875,2007-01-14,14-01-2007
2,2007,colombia,norte santander,villa del rosario,1,COLOMBIA_NORTE SANTANDER_VILLA DEL ROSARIO,7.8318933,-72.4717181,2007-01-14,14-01-2007
2,2007,colombia,procedencia desconocida,procedencia desconocida,2,COLOMBIA_PROCEDENCIA DESCONOCIDA_* PROCEDENCIA DESCONOCIDA,,,2007-01-14,14-01-2007
2,2007,colombia,putumayo,puerto asis,1,COLOMBIA_PUTUMAYO_PUERTO ASIS,0.4979751,-76.4951418,2007-01-14,14-01-2007
2,2007,colombia,putumayo,valle del guamuez,1,COLOMBIA_PUTUMAYO_VALLE DEL GUAMUEZ,0.44932225000000003,-76.87845278479098,2007-01-14,14-01-2007
2,2007,colombia,quindio,armenia,2,COLOMBIA_QUINDIO_ARMENIA,4.536307,-75.6723751,2007-01-14,14-01-2007
2,2007,colombia,quindio,calarca,3,COLOMBIA_QUINDIO_CALARCA,4.5305516,-75.6406048,2007-01-14,14-01-2007
2,2007,colombia,quindio,la tebaida,7,COLOMBIA_QUINDIO_LA TEBAIDA,4.4512175,-75.7887314,2007-01-14,14-01-2007
2,2007,colombia,quindio,montenegro,3,COLOMBIA_QUINDIO_MONTENEGRO,4.5664176,-75.7507081,2007-01-14,14-01-2007
2,2007,colombia,risaralda,pereira,3,COLOMBIA_RISARALDA_PEREIRA,4.7854606,-75.7883220137654,2007-01-14,14-01-2007
2,2007,colombia,risaralda,santuario,2,COLOMBIA_RISARALDA_SANTUARIO,5.0732065,-75.9624682,2007-01-14,14-01-2007
2,2007,colombia,san andres,providencia,3,COLOMBIA_SAN ANDRES_PROVIDENCIA,12.582760149999999,-81.6913289,2007-01-14,14-01-2007
2,2007,colombia,santander,barbosa,1,COLOMBIA_SANTANDER_BARBOSA,5.9326035,-73.6124368,2007-01-14,14-01-2007
2,2007,colombia,santander,barrancabermeja,1,COLOMBIA_SANTANDER_BARRANCABERMEJA,7.0673313,-73.8525627,2007-01-14,14-01-2007
2,2007,colombia,santander,bucaramanga,16,COLOMBIA_SANTANDER_BUCARAMANGA,7.16698415,-73.1047294009737,2007-01-14,14-01-2007
2,2007,colombia,santander,el playon,1,COLOMBIA_SANTANDER_EL PLAYON,7.52300075,-73.19786585908766,2007-01-14,14-01-2007
