SEMANA,ANO,Casos,DATE
27,2019,1401,2019-07-01
28,2019,1303,2019-07-08
29,2019,1284,2019-07-15
30,2019,1346,2019-07-22
31,2019,1210,2019-07-29
32,2019,1346,2019-08-05
33,2019,1172,2019-08-12
34,2019,1229,2019-08-19
35,2019,1218,2019-08-26
36,2019,1299,2019-09-02
37,2019,1407,2019-09-09
38,2019,1360,2019-09-16
39,2019,1331,2019-09-23
40,2019,1295,2019-09-30
41,2019,1276,2019-10-07
42,2019,1332,2019-10-14
43,2019,1255,2019-10-21
44,2019,1321,2019-10-28
45,2019,1325,2019-11-04
46,2019,1335,2019-11-11
47,2019,1108,2019-11-18
48,2019,997,2019-11-25
49,2019,1021,2019-12-02
50,2019,917,2019-12-09
51,2019,859,2019-12-16
52,2019,746,2019-12-23
1,2020,778,2019-12-30
2,2020,918,2020-01-06
3,2020,824,2020-01-13
4,2020,888,2020-01-20
5,2020,901,2020-01-27
6,2020,942,2020-02-03
7,2020,990,2020-02-10
8,2020,1099,2020-02-17
9,2020,1161,2020-02-24
10,2020,1178,2020-03-02
11,2020,1284,2020-03-09
12,2020,595,2020-03-16
13,2020,351,2020-03-23
14,2020,275,2020-03-30
15,2020,212,2020-04-06
16,2020,188,2020-04-13
17,2020,195,2020-04-20
18,2020,171,2020-04-27
19,2020,189,2020-05-04
20,2020,194,2020-05-11
21,2020,178,2020-05-18
22,2020,161,2020-05-25
23,2020,163,2020-06-01
24,2020,157,2020-06-08
25,2020,145,2020-06-15
26,2020,119,2020-06-22
27,2020,130,2020-06-29
28,2020,137,2020-07-06
29,2020,129,2020-07-13
30,2020,120,2020-07-20
31,2020,113,2020-07-27
32,2020,108,2020-08-03
33,2020,132,2020-08-10
34,2020,139,2020-08-17
35,2020,122,2020-08-24
36,2020,140,2020-08-31
37,2020,143,2020-09-07
38,2020,159,2020-09-14
39,2020,160,2020-09-21
40,2020,157,2020-09-28
41,2020,156,2020-10-05
42,2020,170,2020-10-12
43,2020,186,2020-10-19
44,2020,158,2020-10-26
45,2020,172,2020-11-02
46,2020,162,2020-11-09
47,2020,154,2020-11-16
48,2020,151,2020-11-23
49,2020,151,2020-11-30
50,2020,149,2020-12-07
51,2020,144,2020-12-14
52,2020,140,2020-12-21
53,2020,115,2020-12-28
1,2021,162,2021-01-04
2,2021,170,2021-01-11
3,2021,169,2021-01-18
4,2021,156,2021-01-25
5,2021,189,2021-02-01
6,2021,159,2021-02-08
7,2021,200,2021-02-15
8,2021,158,2021-02-22
9,2021,182,2021-03-01
10,2021,186,2021-03-08
