city,state,country,Latitude,Longitude,idx_city,status,nearest_city
san vicente del caguan,caqueta,colombia,2.1131213,-74.7697347,COLOMBIA_CAQUETA_SAN VICENTE DEL CAGUAN,empty,COLOMBIA_CAQUETA_EL DONCELLO
solano,caqueta,colombia,0.2407577,-72.52169776875364,COLOMBIA_CAQUETA_SOLANO,empty,COLOMBIA_GUAVIARE_EL RETORNO
paz de ariporo,casanare,colombia,5.8815393,-71.892938,COLOMBIA_CASANARE_PAZ DE ARIPORO,empty,COLOMBIA_ARAUCA_TAME
trinidad,casanare,colombia,5.4068042,-71.6623713,COLOMBIA_CASANARE_TRINIDAD,empty,COLOMBIA_ARAUCA_TAME
villanueva,casanare,colombia,4.6148734,-72.9252395,COLOMBIA_CASANARE_VILLANUEVA,empty,COLOMBIA_META_CUMARAL
yopal,casanare,colombia,5.3356662,-72.3936931,COLOMBIA_CASANARE_YOPAL,empty,COLOMBIA_ARAUCA_TAME
argelia,cauca,colombia,2.32689015,-77.26328131893001,COLOMBIA_CAUCA_ARGELIA,empty,COLOMBIA_CAUCA_EL TAMBO
buenos aires,cauca,colombia,3.0165467,-76.6406849,COLOMBIA_CAUCA_BUENOS AIRES,empty,COLOMBIA_CAUCA_PIENDAMO
caloto,cauca,colombia,3.0336985,-76.4085199,COLOMBIA_CAUCA_CALOTO,empty,COLOMBIA_VALLE_CANDELARIA
lopez micay,cauca,colombia,2.847624,-77.247802,COLOMBIA_CAUCA_LOPEZ (MICAY),empty,COLOMBIA_CAUCA_TIMBIQUI
padilla,cauca,colombia,3.2254364,-76.3139739,COLOMBIA_CAUCA_PADILLA,empty,COLOMBIA_VALLE_CANDELARIA
patia el bordo,cauca,colombia,2.1141727,-76.9867835,COLOMBIA_CAUCA_PATIA (EL BORDO),empty,COLOMBIA_CAUCA_ROSAS
santander de quilichao,cauca,colombia,3.0075752,-76.4856531,COLOMBIA_CAUCA_SANTANDER DE QUILICHAO,empty,COLOMBIA_CAUCA_PIENDAMO
aguachica,cesar,colombia,8.309416,-73.603699,COLOMBIA_CESAR_AGUACHICA,empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
agustin codazzi,cesar,colombia,10.0374894,-73.2387011,COLOMBIA_CESAR_AGUSTIN CODAZZI,empty,COLOMBIA_CESAR_SAN DIEGO
astrea,cesar,colombia,9.4962322,-73.9756293,COLOMBIA_CESAR_ASTREA,empty,COLOMBIA_SUCRE_BUENAVISTA
bosconia,cesar,colombia,9.9284449,-73.85871452915472,COLOMBIA_CESAR_BOSCONIA,empty,COLOMBIA_CESAR_SAN DIEGO
curumani,cesar,colombia,9.1995316,-73.5440609,COLOMBIA_CESAR_CURUMANI,empty,COLOMBIA_CESAR_SAN DIEGO
la jagua de ibirico,cesar,colombia,9.5613975,-73.3328147,COLOMBIA_CESAR_LA JAGUA DE IBIRICO,empty,COLOMBIA_CESAR_SAN DIEGO
pueblo bello,cesar,colombia,10.4119057,-73.5909603,COLOMBIA_CESAR_PUEBLO BELLO,empty,COLOMBIA_CESAR_VALLEDUPAR
acandi,choco,colombia,8.5115155,-77.2790562,COLOMBIA_CHOCO_ACANDI,empty,COLOMBIA_ANTIOQUIA_TURBO
